U58;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1105001;Head of State;Heinrich Himmler;1948;1964;1999;NS;stern imperialist;Very High;M108;X
1105002;Head of Government;Reinhard Heydrich;1948;1964;1999;NS;The Brown Eminence;High;M244;X
1105003;Foreign Minister;Heinrich Himmler;1948;1964;1999;NS;Ideological Crusader;High;M108;X
1105004;Minister of Armament;Reinhard Heydrich;1948;1964;1999;NS;Administrative Genius;High;M244;X
1105005;Minister of Security;Reinhard Heydrich;1948;1964;1999;NS;Secret police chief;Very High;M244;X
1105006;Head of Military Intelligence;Reinhard Heydrich;1948;1964;1999;NS;The Hangman;Very High;M244;X
1105007;Chief of Staff;Heinrich Himmler;1948;1964;1999;NS;School of Mass Combat;High;M108;X
1105008;Chief of Army;Heinrich Himmler;1948;1964;1999;NS;Guns and Butter Doctrine;High;M108;X
1105009;Chief of Navy;Heinrich Himmler;1948;1964;1999;NS;Indirect Approach Doctrine;Very High;M108;X
1105010;Chief of Air Force;Heinrich Himmler;1939;1964;1999;NS;Carpet Bombing Doctrine;High;M108;X
